Date,Open,High,Low,Close,Volume
2014-11-17,102.98,103.21,102.42,102.91,23361600
2014-11-18,103.0,103.82,102.99,103.68,26336800
2014-11-19,103.57,103.57,102.73,103.21,23760200
2014-11-20,102.77,103.76,102.69,103.67,22874000
2014-11-21,104.59,104.69,103.54,103.87,34049100
2014-11-24,104.15,104.73,104.06,104.68,17928300
2014-11-25,104.84,105.15,104.57,104.84,17526000
2014-11-26,104.94,105.58,104.83,105.52,18973800
2014-11-28,105.8,106.25,105.73,106.01,17360400
2014-12-01,105.72,105.92,104.42,104.81,35969500
2014-12-02,104.92,105.42,104.7,105.23,26031300
2014-12-03,105.39,105.57,104.76,105.42,32974300
2014-12-04,105.32,105.78,104.93,105.37,31008800
2014-12-05,105.54,105.7,105.15,105.38,25622200
2014-12-08,105.11,105.57,104.08,104.63,32685800
2014-12-09,103.41,105.04,103.04,104.96,46035100
2014-12-10,104.77,105.03,103.12,103.31,39330100
2014-12-11,103.61,105.04,103.59,103.8,47576000
2014-12-12,102.81,103.99,102.66,102.67,46889400
2014-12-15,103.2,103.58,101.32,101.61,52968400
2014-12-16,100.97,102.47,99.96,99.98,65348600
2014-12-17,100.05,102.09,99.92,101.8,79715300
2014-12-18,103.26,104.26,102.98,104.25,49840900
2014-12-19,103.97,104.74,103.71,104.32,51419900
2014-12-22,104.15,104.61,104.1,104.58,33869200
2014-12-23,104.96,104.97,104.09,104.21,30156900
2014-12-24,104.34,104.7,104.27,104.3,14291300
2014-12-26,104.6,105.26,104.57,105.04,13924300
2014-12-29,104.94,105.25,104.88,105.02,17073800
2014-12-30,104.72,104.96,104.18,104.32,18604000
2014-12-31,104.5,104.91,103.1,103.25,24367100
2015-01-02,103.76,104.2,102.44,102.94,31314600
2015-01-05,102.49,102.61,101.14,101.43,36521300
2015-01-06,101.58,101.75,99.62,100.07,66205500
2015-01-07,100.73,101.6,100.49,101.36,37577400
2015-01-08,102.22,103.5,102.11,103.3,40212600
2015-01-09,103.62,103.65,102.02,102.62,41410100
2015-01-12,102.82,102.93,101.29,101.55,34129800
2015-01-13,102.54,103.62,100.7,101.52,56162300
2015-01-14,100.5,101.48,100.07,100.96,51354200
2015-01-15,101.43,101.59,99.53,99.65,51005400
2015-01-16,99.52,100.95,99.36,100.82,35362200
2015-01-20,101.43,101.88,100.29,101.62,30964100
2015-01-21,101.32,102.62,100.96,102.14,40128800
2015-01-22,102.54,104.14,101.64,104.03,40887200
2015-01-23,104.02,104.58,103.72,104.26,34783000
2015-01-26,104.14,104.33,103.61,104.14,19960900
2015-01-27,102.5,102.56,101.1,101.44,45253200
2015-01-28,103.07,103.18,100.9,100.92,43591700
2015-01-29,100.84,102.08,99.96,101.89,46539700
2015-01-30,101.8,102.58,100.96,101.1,42927600
2015-02-02,101.33,102.07,99.75,101.98,43624700
2015-02-03,102.35,103.03,101.68,102.96,30750400
2015-02-04,102.54,103.55,102.31,102.87,34073200
2015-02-05,103.13,103.83,102.87,103.76,23605500
2015-02-06,103.92,104.17,102.76,103.13,34169300
2015-02-09,102.73,103.29,102.55,102.8,22604700
2015-02-10,103.37,104.54,103.21,104.4,23686500
2015-02-11,104.52,105.02,104.32,104.78,20303600
2015-02-12,105.46,106.04,105.3,106.0,22520300
2015-02-13,106.3,106.93,106.1,106.91,29030200
2015-02-17,106.91,107.08,106.64,107.01,17675300
2015-02-18,106.88,107.22,106.74,107.16,15149600
2015-02-19,107.09,107.76,107.06,107.69,19828100
2015-02-20,107.62,108.47,107.28,108.41,28336700
2015-02-23,108.35,108.55,108.11,108.52,17868000
2015-02-24,108.38,108.73,108.05,108.6,19745000
2015-02-25,108.44,108.86,108.09,108.33,19472300
2015-02-26,108.44,108.94,108.14,108.88,22255500
2015-02-27,108.84,108.91,108.23,108.4,27757600
2015-03-02,108.61,109.42,108.59,109.38,22988600
2015-03-03,109.05,109.16,108.18,108.87,20788900
2015-03-04,108.51,108.67,107.86,108.45,21007400
2015-03-05,108.73,108.97,108.19,108.64,15381000
2015-03-06,108.5,108.71,107.14,107.41,30990400
2015-03-09,107.63,107.99,107.19,107.72,26237100
2015-03-10,106.95,106.98,105.72,105.72,34234500
2015-03-11,105.88,106.01,105.07,105.11,25459700
2015-03-12,105.03,105.92,104.96,105.8,21473200
2015-03-13,105.7,106.12,104.68,105.34,42021100
2015-03-16,105.73,106.74,105.62,106.7,25674100
2015-03-17,106.41,107.04,106.16,106.87,19603800
2015-03-18,106.58,108.41,106.03,107.92,40622200
2015-03-19,108.03,108.38,107.87,108.08,31314000
2015-03-20,108.72,109.07,108.51,108.53,31761400
2015-03-23,108.47,108.77,108.28,108.32,17268500
2015-03-24,108.31,108.81,107.91,107.93,22445300
2015-03-25,108.1,108.2,105.42,105.46,41581400
2015-03-26,104.59,105.7,104.24,105.1,47846300
2015-03-27,105.08,105.77,104.92,105.52,33878400
2015-03-30,106.16,106.82,106.16,106.73,30570200
2015-03-31,106.43,106.65,105.57,105.6,30488100
2015-04-01,105.6,105.62,104.37,105.05,32970500
2015-04-02,105.15,105.46,104.78,105.12,19164200
2015-04-06,104.5,106.27,104.34,105.98,24451100
2015-04-07,105.92,106.7,105.8,105.8,19379400
2015-04-08,105.84,106.79,105.83,106.64,25866900
2015-04-09,106.59,107.35,106.23,107.31,23114700
2015-04-10,107.27,107.76,107.03,107.75,17164300
2015-04-13,107.83,108.38,107.36,107.48,17783500
2015-04-14,107.37,107.68,106.56,107.17,23755700
2015-04-15,107.45,108.07,107.32,107.84,21128600
2015-04-16,107.55,107.88,107.4,107.69,16195300
2015-04-17,106.66,106.95,105.55,106.01,46514000
2015-04-20,106.54,107.79,106.5,107.6,28945900
2015-04-21,108.22,108.41,107.93,108.06,22759800
2015-04-22,108.34,108.83,107.64,108.65,21429200
2015-04-23,108.28,109.55,108.26,109.06,29473200
2015-04-24,110.21,110.69,110.03,110.54,32508100
2015-04-27,110.95,111.16,110.02,110.26,31121300
