Date,Open,High,Low,Close,Volume,rsi,awesome_oscillator,force_index,ease_of_movement,ease_of_movement_signal,bbands_upper,bbands_middle,bbands_lower,atr,macd,macd_signal,aroon,aroon_up,aroon_down
2014-03-27,17.15749931,17.20000076,16.54400063,16.92350006,115328000,24.46008359,-0.45243324,-18807971.79092888,-0.37143398,-0.12811304,19.4434851,18.09405022,16.74461533,0.4921585,-0.23397731,-0.04906812,-35.0,65.0,100.0
2014-03-28,17.00250053,17.35000038,16.80400085,16.91449928,79736000,24.3598016,-0.6760498,-15518828.92901727,0.14037557,-0.11300904,19.36979853,17.91680012,16.46380171,0.4975426,-0.29010949,-0.0972764,-40.0,60.0,100.0
2014-03-31,17.12000084,17.31450081,16.70299911,16.81850052,85950000,23.23110329,-0.79784994,-14197422.53630022,-0.04855776,-0.12175422,19.19489434,17.72345009,16.25200584,0.50893851,-0.33494993,-0.1448111,-45.0,55.0,100.0
2014-04-01,16.90449905,17.2215004,16.89999962,17.14949989,72002000,34.80404587,-0.90579151,-7282869.90155409,0.02321888,-0.11970417,18.8008769,17.54455013,16.28822337,0.49834465,-0.33368554,-0.18258599,-45.0,50.0,95.0
2014-04-02,17.29949951,17.41500092,17.0189991,17.09799957,89510000,33.92004009,-0.95742477,-6796856.04347124,0.06912667,-0.10016817,18.41839746,17.3882,16.35800253,0.48811036,-0.33143037,-0.21235486,-45.0,45.0,90.0
2014-04-03,17.0909996,17.125,16.42300034,16.68099976,127986000,27.61067309,-0.95712487,-15264725.59285164,-0.24298418,-0.10922916,18.04012562,17.21145,16.38277439,0.50949929,-0.36012578,-0.24190905,-60.0,40.0,100.0
2014-04-04,16.75749969,16.77199936,15.78050041,16.14999962,250692000,21.8581424,-1.07574167,-36692500.29002537,-0.19686264,-0.11561321,17.87609995,17.02334995,16.17059995,0.55769926,-0.42110593,-0.27774842,-65.0,35.0,100.0
2014-04-07,16.04949951,16.24699974,15.65649986,15.88799953,141548000,19.61741967,-1.23862505,-36763970.76078092,-0.13537264,-0.0941774,17.85140111,16.85289984,15.85439856,0.56097932,-0.48163919,-0.31852658,-70.0,30.0,100.0
2014-04-08,16.09399986,16.39999962,15.92199993,16.35350037,131552000,33.14668821,-1.36339173,-18945509.64078985,0.07603185,-0.08331291,17.5565872,16.71469984,15.87281249,0.5560814,-0.47780635,-0.35038253,-70.0,25.0,95.0
2014-04-09,16.42350006,16.60899925,16.125,16.59049988,101132000,38.95862842,-1.47735848,-11143010.68443886,0.09858776,-0.05878705,17.4430758,16.65669985,15.8703239,0.54887318,-0.44617592,-0.36954121,-70.0,20.0,90.0
2014-04-10,16.53000069,16.54999924,15.82499981,15.85550022,122534000,29.97813819,-1.53750029,-25491999.27477536,-0.10620519,-0.03226417,17.44491807,16.54989986,15.65488166,0.57053587,-0.47867152,-0.39136727,-85.0,15.0,100.0
2014-04-11,15.69999981,15.82499981,15.47500038,15.58650017,145750000,27.40886569,-1.58195856,-27985591.73097798,-0.12907341,-0.05920907,17.44111011,16.41709995,15.39308979,0.55153227,-0.51772807,-0.41663943,-90.0,10.0,100.0
2014-04-14,15.8835001,16.02400017,15.56400013,15.7954998,85870000,32.40967931,-1.54377515,-19634248.04289712,0.0771399,-0.0466393,17.36210181,16.31479988,15.26749795,0.54237905,-0.51957987,-0.43722752,-90.0,5.0,95.0
2014-04-15,15.83500004,15.91399956,15.27499962,15.8039999,107972000,32.61944171,-1.57010851,-15897516.99711713,-0.11806843,-0.06076803,17.10226047,16.18024988,15.2582393,0.55204113,-0.51121769,-0.45202555,-85.0,5.0,90.0
2014-04-16,16.05850029,16.20000076,15.73550034,16.18400002,85698000,41.61919216,-1.56835836,-7086104.85084896,0.20230954,-0.04744974,16.7815169,16.08884993,15.39618295,0.54328706,-0.46327481,-0.4542754,-80.0,5.0,85.0
2014-04-17,15.98799992,16.43300056,15.98799992,16.24550056,85984000,42.98853077,-1.48391655,-4836256.10843608,0.12563241,-0.01058808,16.62990274,16.04530001,15.46069727,0.53345842,-0.41443782,-0.44630789,-75.0,5.0,80.0
